country,type,year,month,demand,source,country_contributions
BE,household,2025.0,11.0,1.02,entsog,
BE,industry,2025.0,11.0,0.38,entsog,
CZ,total,2019.0,1.0,1303.93,eurostat,
CZ,total,2019.0,2.0,1014.84,eurostat,
CZ,total,2019.0,3.0,858.17,eurostat,
CZ,total,2019.0,4.0,617.6,eurostat,
CZ,total,2019.0,5.0,572.11,eurostat,
CZ,total,2019.0,6.0,397.24,eurostat,
CZ,total,2019.0,7.0,403.31,eurostat,
CZ,total,2019.0,8.0,399.27,eurostat,
CZ,total,2019.0,9.0,490.24,eurostat,
CZ,total,2019.0,10.0,728.79,eurostat,
CZ,total,2019.0,11.0,919.83,eurostat,
CZ,total,2019.0,12.0,1067.4,eurostat,
CZ,total,2020.0,1.0,1230.93,eurostat,
CZ,total,2020.0,2.0,993.43,eurostat,
CZ,total,2020.0,3.0,929.37,eurostat,
CZ,total,2020.0,4.0,588.55,eurostat,
CZ,total,2020.0,5.0,503.51,eurostat,
CZ,total,2020.0,6.0,418.12,eurostat,
CZ,total,2020.0,7.0,429.89,eurostat,
CZ,total,2020.0,8.0,408.16,eurostat,
CZ,total,2020.0,9.0,429.36,eurostat,
CZ,total,2020.0,10.0,756.77,eurostat,
CZ,total,2020.0,11.0,1037.57,eurostat,
CZ,total,2020.0,12.0,1190.64,eurostat,
CZ,total,2021.0,1.0,1292.86,eurostat,
CZ,total,2021.0,2.0,1185.61,eurostat,
CZ,total,2021.0,3.0,1104.34,eurostat,
CZ,total,2021.0,4.0,890.94,eurostat,
CZ,total,2021.0,5.0,596.98,eurostat,
CZ,total,2021.0,6.0,419.95,eurostat,
CZ,total,2021.0,7.0,397.77,eurostat,
CZ,total,2021.0,8.0,377.64,eurostat,
CZ,total,2021.0,9.0,443.19,eurostat,
CZ,total,2021.0,10.0,712.16,eurostat,
CZ,total,2021.0,11.0,998.61,eurostat,
CZ,total,2021.0,12.0,1141.11,eurostat,
CZ,total,2022.0,1.0,1135.56,eurostat,
CZ,total,2022.0,2.0,1135.56,eurostat,
CZ,total,2022.0,3.0,911.85,eurostat,
CZ,total,2022.0,4.0,695.26,eurostat,
CZ,total,2022.0,5.0,398.57,eurostat,
CZ,total,2022.0,6.0,343.37,eurostat,
CZ,total,2022.0,7.0,311.94,eurostat,
CZ,total,2022.0,8.0,311.66,eurostat,
CZ,total,2022.0,9.0,395.56,eurostat,
CZ,total,2022.0,10.0,532.34,eurostat,
CZ,total,2022.0,11.0,769.58,eurostat,
CZ,total,2022.0,12.0,983.54,eurostat,
CZ,total,2023.0,1.0,904.08,eurostat,
CZ,total,2023.0,2.0,877.99,eurostat,
CZ,total,2023.0,3.0,785.37,eurostat,
CZ,total,2023.0,4.0,617.65,eurostat,
CZ,total,2023.0,5.0,374.75,eurostat,
CZ,total,2023.0,6.0,325.61,eurostat,
CZ,total,2023.0,7.0,292.52,eurostat,
CZ,total,2023.0,8.0,292.9,eurostat,
CZ,total,2023.0,9.0,313.59,eurostat,
CZ,total,2023.0,10.0,479.17,eurostat,
CZ,total,2023.0,11.0,745.38,eurostat,
CZ,total,2023.0,12.0,896.41,eurostat,
CZ,total,2024.0,1.0,1064.49,eurostat,
CZ,total,2024.0,2.0,720.65,eurostat,
CZ,total,2024.0,3.0,676.35,eurostat,
CZ,total,2024.0,4.0,478.71,eurostat,
CZ,total,2024.0,5.0,322.28,eurostat,
CZ,total,2024.0,6.0,310.21,eurostat,
CZ,total,2024.0,7.0,273.96,eurostat,
CZ,total,2024.0,8.0,289.22,eurostat,
CZ,total,2024.0,9.0,339.45,eurostat,
CZ,total,2024.0,10.0,573.03,eurostat,
CZ,total,2024.0,11.0,875.97,eurostat,
CZ,total,2024.0,12.0,960.41,eurostat,
CZ,total,2025.0,1.0,1067.52,eurostat,
CZ,total,2025.0,2.0,979.24,eurostat,
CZ,total,2025.0,3.0,762.91,eurostat,
CZ,total,2025.0,4.0,510.5,eurostat,
CZ,total,2025.0,5.0,424.1,eurostat,
CZ,total,2025.0,6.0,305.71,eurostat,
CZ,total,2025.0,7.0,296.06,eurostat,
CZ,total,2025.0,8.0,272.92,eurostat,
CZ,total,2025.0,9.0,322.63,eurostat,
CZ,total,2025.0,10.0,577.86,eurostat,
CZ,total,2025.0,11.0,672.52,eurostat,
DE,household,2019.0,1.0,71.05,bundesnetzagentur,
DE,household,2019.0,2.0,51.66,bundesnetzagentur,
DE,household,2019.0,3.0,46.04,bundesnetzagentur,
DE,household,2019.0,4.0,28.59,bundesnetzagentur,
DE,household,2019.0,5.0,23.99,bundesnetzagentur,
DE,household,2019.0,6.0,7.47,bundesnetzagentur,
DE,household,2019.0,7.0,7.56,bundesnetzagentur,
DE,household,2019.0,8.0,7.07,bundesnetzagentur,
DE,household,2019.0,9.0,13.17,bundesnetzagentur,
DE,household,2019.0,10.0,27.93,bundesnetzagentur,
DE,household,2019.0,11.0,49.77,bundesnetzagentur,
DE,household,2019.0,12.0,58.78,bundesnetzagentur,
DE,household,2020.0,1.0,61.04,bundesnetzagentur,
DE,household,2020.0,2.0,51.59,bundesnetzagentur,
DE,household,2020.0,3.0,48.58,bundesnetzagentur,
DE,household,2020.0,4.0,24.9,bundesnetzagentur,
DE,household,2020.0,5.0,19.5,bundesnetzagentur,
DE,household,2020.0,6.0,9.84,bundesnetzagentur,
DE,household,2020.0,7.0,8.49,bundesnetzagentur,
DE,household,2020.0,8.0,6.94,bundesnetzagentur,
DE,household,2020.0,9.0,12.42,bundesnetzagentur,
DE,household,2020.0,10.0,31.65,bundesnetzagentur,
DE,household,2020.0,11.0,44.91,bundesnetzagentur,
DE,household,2020.0,12.0,60.48,bundesnetzagentur,
DE,household,2021.0,1.0,70.49,bundesnetzagentur,
DE,household,2021.0,2.0,59.64,bundesnetzagentur,
DE,household,2021.0,3.0,52.42,bundesnetzagentur,
DE,household,2021.0,4.0,41.67,bundesnetzagentur,
DE,household,2021.0,5.0,26.78,bundesnetzagentur,
DE,household,2021.0,6.0,8.1,bundesnetzagentur,
DE,household,2021.0,7.0,7.84,bundesnetzagentur,
DE,household,2021.0,8.0,9.52,bundesnetzagentur,
DE,household,2021.0,9.0,12.33,bundesnetzagentur,
DE,household,2021.0,10.0,31.59,bundesnetzagentur,
DE,household,2021.0,11.0,50.07,bundesnetzagentur,
DE,household,2021.0,12.0,62.99,bundesnetzagentur,
DE,household,2022.0,1.0,63.86,bundesnetzagentur,
DE,household,2022.0,2.0,52.02,bundesnetzagentur,
DE,household,2022.0,3.0,46.04,bundesnetzagentur,
DE,household,2022.0,4.0,33.6,bundesnetzagentur,
DE,household,2022.0,5.0,13.18,bundesnetzagentur,
DE,household,2022.0,6.0,7.98,bundesnetzagentur,
DE,household,2022.0,7.0,6.57,bundesnetzagentur,
DE,household,2022.0,8.0,5.74,bundesnetzagentur,
DE,household,2022.0,9.0,12.15,bundesnetzagentur,
DE,household,2022.0,10.0,18.2,bundesnetzagentur,
DE,household,2022.0,11.0,35.52,bundesnetzagentur,
DE,household,2022.0,12.0,58.0,bundesnetzagentur,
DE,household,2023.0,1.0,52.98,bundesnetzagentur,
DE,household,2023.0,2.0,47.85,bundesnetzagentur,
DE,household,2023.0,3.0,43.68,bundesnetzagentur,
DE,household,2023.0,4.0,31.5,bundesnetzagentur,
DE,household,2023.0,5.0,14.72,bundesnetzagentur,
DE,household,2023.0,6.0,6.72,bundesnetzagentur,
DE,household,2023.0,7.0,6.51,bundesnetzagentur,
DE,household,2023.0,8.0,6.98,bundesnetzagentur,
DE,household,2023.0,9.0,7.29,bundesnetzagentur,
DE,household,2023.0,10.0,20.24,bundesnetzagentur,
DE,household,2023.0,11.0,42.24,bundesnetzagentur,
DE,household,2023.0,12.0,53.51,bundesnetzagentur,
DE,household,2024.0,1.0,63.27,bundesnetzagentur,
DE,household,2024.0,2.0,41.27,bundesnetzagentur,
DE,household,2024.0,3.0,36.8,bundesnetzagentur,
DE,household,2024.0,4.0,26.04,bundesnetzagentur,
DE,household,2024.0,5.0,11.16,bundesnetzagentur,
DE,household,2024.0,6.0,8.88,bundesnetzagentur,
DE,household,2024.0,7.0,6.7,bundesnetzagentur,
DE,household,2024.0,8.0,5.89,bundesnetzagentur,
DE,household,2024.0,9.0,10.59,bundesnetzagentur,
DE,household,2024.0,10.0,23.99,bundesnetzagentur,
DE,household,2024.0,11.0,43.92,bundesnetzagentur,
DE,household,2024.0,12.0,55.55,bundesnetzagentur,
DE,household,2025.0,1.0,61.63,bundesnetzagentur,
DE,household,2025.0,2.0,53.96,bundesnetzagentur,
DE,household,2025.0,3.0,39.8,bundesnetzagentur,
DE,household,2025.0,4.0,22.32,bundesnetzagentur,
DE,household,2025.0,5.0,14.17,bundesnetzagentur,
DE,household,2025.0,6.0,7.35,bundesnetzagentur,
DE,household,2025.0,7.0,6.51,bundesnetzagentur,
DE,household,2025.0,8.0,6.73,bundesnetzagentur,
DE,household,2025.0,9.0,10.98,bundesnetzagentur,
DE,household,2025.0,10.0,27.34,bundesnetzagentur,
DE,household,2025.0,11.0,44.01,bundesnetzagentur,
FI,total,2019.0,1.0,388.15,eurostat,
FI,total,2019.0,2.0,281.0,eurostat,
FI,total,2019.0,3.0,271.91,eurostat,
FI,total,2019.0,4.0,215.3,eurostat,
FI,total,2019.0,5.0,156.67,eurostat,
FI,total,2019.0,6.0,156.67,eurostat,
FI,total,2019.0,7.0,154.65,eurostat,
FI,total,2019.0,8.0,151.62,eurostat,
FI,total,2019.0,9.0,171.84,eurostat,
FI,total,2019.0,10.0,210.25,eurostat,
FI,total,2019.0,11.0,210.25,eurostat,
