date,country,type,year,month,demand,source,country_contributions
2016-01-01,AT,total,2016,1,1178.0,eurostat,
2016-01-01,BE,total,2016,1,2011.0,eurostat,
2016-01-01,BG,total,2016,1,408.0,eurostat,
2016-01-01,CY,total,2016,1,0.0,eurostat,
2016-01-01,CZ,total,2016,1,1211.0,eurostat,
2016-01-01,DE,total,2016,1,12853.0,eurostat,
2016-01-01,DK,total,2016,1,465.0,eurostat,
2016-01-01,EE,total,2016,1,97.0,eurostat,
2016-01-01,ES,total,2016,1,2709.0,eurostat,
2016-01-01,EU27_2020,total,2016,1,49373.0,eurostat,
2016-01-01,FI,total,2016,1,405.0,eurostat,
2016-01-01,FR,total,2016,1,5442.0,eurostat,
2016-01-01,GR,total,2016,1,408.0,eurostat,
2016-01-01,HR,total,2016,1,335.0,eurostat,
2016-01-01,HU,total,2016,1,1522.0,eurostat,
2016-01-01,IE,total,2016,1,439.0,eurostat,
2016-01-01,IT,total,2016,1,9132.0,eurostat,
2016-01-01,LT,total,2016,1,286.0,eurostat,
2016-01-01,LU,total,2016,1,97.0,eurostat,
2016-01-01,LV,total,2016,1,241.0,eurostat,
2016-01-01,MT,total,2016,1,0.0,eurostat,
2016-01-01,NL,total,2016,1,5055.0,eurostat,
2016-01-01,PL,total,2016,1,2285.0,eurostat,
2016-01-01,PT,total,2016,1,379.0,eurostat,
2016-01-01,RO,total,2016,1,1391.0,eurostat,
2016-01-01,SE,total,2016,1,157.0,eurostat,
2016-01-01,SI,total,2016,1,108.0,eurostat,
2016-01-01,SK,total,2016,1,759.0,eurostat,
2016-02-01,AT,total,2016,2,887.0,eurostat,
2016-02-01,BE,total,2016,2,1850.0,eurostat,
2016-02-01,BG,total,2016,2,304.0,eurostat,
2016-02-01,CY,total,2016,2,0.0,eurostat,
2016-02-01,CZ,total,2016,2,913.0,eurostat,
2016-02-01,DE,total,2016,2,9906.0,eurostat,
2016-02-01,DK,total,2016,2,355.0,eurostat,
2016-02-01,EE,total,2016,2,61.0,eurostat,
2016-02-01,ES,total,2016,2,2594.0,eurostat,
2016-02-01,EU27_2020,total,2016,2,40623.0,eurostat,
2016-02-01,FI,total,2016,2,273.0,eurostat,
2016-02-01,FR,total,2016,2,4902.0,eurostat,
2016-02-01,GR,total,2016,2,270.0,eurostat,
2016-02-01,HR,total,2016,2,256.0,eurostat,
2016-02-01,HU,total,2016,2,1071.0,eurostat,
2016-02-01,IE,total,2016,2,463.0,eurostat,
2016-02-01,IT,total,2016,2,7514.0,eurostat,
2016-02-01,LT,total,2016,2,199.0,eurostat,
2016-02-01,LU,total,2016,2,89.0,eurostat,
2016-02-01,LV,total,2016,2,129.0,eurostat,
2016-02-01,MT,total,2016,2,0.0,eurostat,
2016-02-01,NL,total,2016,2,4560.0,eurostat,
2016-02-01,PL,total,2016,2,1850.0,eurostat,
2016-02-01,PT,total,2016,2,331.0,eurostat,
2016-02-01,RO,total,2016,2,1112.0,eurostat,
2016-02-01,SE,total,2016,2,118.0,eurostat,
2016-02-01,SI,total,2016,2,88.0,eurostat,
2016-02-01,SK,total,2016,2,528.0,eurostat,
2016-03-01,AT,total,2016,3,874.0,eurostat,
2016-03-01,BE,total,2016,3,1846.0,eurostat,
2016-03-01,BG,total,2016,3,296.0,eurostat,
2016-03-01,CY,total,2016,3,0.0,eurostat,
2016-03-01,CZ,total,2016,3,917.0,eurostat,
2016-03-01,DE,total,2016,3,9472.0,eurostat,
2016-03-01,DK,total,2016,3,344.0,eurostat,
2016-03-01,EE,total,2016,3,59.0,eurostat,
2016-03-01,ES,total,2016,3,2606.0,eurostat,
2016-03-01,EU27_2020,total,2016,3,37129.0,eurostat,
2016-03-01,FI,total,2016,3,257.0,eurostat,
2016-03-01,FR,total,2016,3,4923.0,eurostat,
2016-03-01,GR,total,2016,3,286.0,eurostat,
2016-03-01,HR,total,2016,3,270.0,eurostat,
2016-03-01,HU,total,2016,3,1003.0,eurostat,
2016-03-01,IE,total,2016,3,450.0,eurostat,
2016-03-01,IT,total,2016,3,7026.0,eurostat,
2016-03-01,LT,total,2016,3,221.0,eurostat,
2016-03-01,LU,total,2016,3,90.0,eurostat,
2016-03-01,LV,total,2016,3,137.0,eurostat,
2016-03-01,MT,total,2016,3,0.0,eurostat,
2016-03-01,NL,total,2016,3,2038.0,eurostat,
2016-03-01,PL,total,2016,3,1899.0,eurostat,
2016-03-01,PT,total,2016,3,367.0,eurostat,
2016-03-01,RO,total,2016,3,1059.0,eurostat,
2016-03-01,SE,total,2016,3,95.0,eurostat,
2016-03-01,SI,total,2016,3,87.0,eurostat,
2016-03-01,SK,total,2016,3,507.0,eurostat,
2016-04-01,AT,total,2016,4,654.0,eurostat,
2016-04-01,BE,total,2016,4,1377.0,eurostat,
2016-04-01,BG,total,2016,4,231.0,eurostat,
2016-04-01,CY,total,2016,4,0.0,eurostat,
2016-04-01,CZ,total,2016,4,625.0,eurostat,
2016-04-01,DE,total,2016,4,5865.0,eurostat,
2016-04-01,DK,total,2016,4,272.0,eurostat,
2016-04-01,EE,total,2016,4,41.0,eurostat,
2016-04-01,ES,total,2016,4,2244.0,eurostat,
2016-04-01,EU27_2020,total,2016,4,27435.0,eurostat,
2016-04-01,FI,total,2016,4,179.0,eurostat,
2016-04-01,FR,total,2016,4,3373.0,eurostat,
2016-04-01,GR,total,2016,4,252.0,eurostat,
2016-04-01,HR,total,2016,4,189.0,eurostat,
2016-04-01,HU,total,2016,4,595.0,eurostat,
2016-04-01,IE,total,2016,4,451.0,eurostat,
2016-04-01,IT,total,2016,4,4410.0,eurostat,
2016-04-01,LT,total,2016,4,168.0,eurostat,
2016-04-01,LU,total,2016,4,70.0,eurostat,
2016-04-01,LV,total,2016,4,90.0,eurostat,
2016-04-01,MT,total,2016,4,0.0,eurostat,
2016-04-01,NL,total,2016,4,3325.0,eurostat,
2016-04-01,PL,total,2016,4,1536.0,eurostat,
2016-04-01,PT,total,2016,4,331.0,eurostat,
2016-04-01,RO,total,2016,4,763.0,eurostat,
2016-04-01,SE,total,2016,4,54.0,eurostat,
2016-04-01,SI,total,2016,4,61.0,eurostat,
2016-04-01,SK,total,2016,4,279.0,eurostat,
2016-05-01,AT,total,2016,5,505.0,eurostat,
2016-05-01,BE,total,2016,5,951.0,eurostat,
2016-05-01,BG,total,2016,5,230.0,eurostat,
2016-05-01,CY,total,2016,5,0.0,eurostat,
2016-05-01,CZ,total,2016,5,432.0,eurostat,
2016-05-01,DE,total,2016,5,5339.0,eurostat,
2016-05-01,DK,total,2016,5,175.0,eurostat,
2016-05-01,EE,total,2016,5,22.0,eurostat,
2016-05-01,ES,total,2016,5,2058.0,eurostat,
2016-05-01,EU27_2020,total,2016,5,22559.0,eurostat,
2016-05-01,FI,total,2016,5,132.0,eurostat,
2016-05-01,FR,total,2016,5,2206.0,eurostat,
2016-05-01,GR,total,2016,5,249.0,eurostat,
2016-05-01,HR,total,2016,5,169.0,eurostat,
2016-05-01,HU,total,2016,5,484.0,eurostat,
2016-05-01,IE,total,2016,5,405.0,eurostat,
2016-05-01,IT,total,2016,5,4175.0,eurostat,
2016-05-01,LT,total,2016,5,161.0,eurostat,
2016-05-01,LU,total,2016,5,53.0,eurostat,
2016-05-01,LV,total,2016,5,58.0,eurostat,
2016-05-01,MT,total,2016,5,0.0,eurostat,
2016-05-01,NL,total,2016,5,2336.0,eurostat,
2016-05-01,PL,total,2016,5,1272.0,eurostat,
2016-05-01,PT,total,2016,5,343.0,eurostat,
2016-05-01,RO,total,2016,5,649.0,eurostat,
2016-05-01,SE,total,2016,5,44.0,eurostat,
2016-05-01,SI,total,2016,5,54.0,eurostat,
2016-05-01,SK,total,2016,5,57.0,eurostat,
2016-06-01,AT,total,2016,6,374.0,eurostat,
2016-06-01,BE,total,2016,6,862.0,eurostat,
2016-06-01,BG,total,2016,6,200.0,eurostat,
2016-06-01,CY,total,2016,6,0.0,eurostat,
2016-06-01,CZ,total,2016,6,333.0,eurostat,
2016-06-01,DE,total,2016,6,4037.0,eurostat,
2016-06-01,DK,total,2016,6,159.0,eurostat,
2016-06-01,EE,total,2016,6,18.0,eurostat,
2016-06-01,ES,total,2016,6,1966.0,eurostat,
2016-06-01,EU27_2020,total,2016,6,19530.0,eurostat,
2016-06-01,FI,total,2016,6,133.0,eurostat,
2016-06-01,FR,total,2016,6,1774.0,eurostat,
2016-06-01,GR,total,2016,6,337.0,eurostat,
2016-06-01,HR,total,2016,6,132.0,eurostat,
2016-06-01,HU,total,2016,6,382.0,eurostat,
2016-06-01,IE,total,2016,6,347.0,eurostat,
2016-06-01,IT,total,2016,6,3716.0,eurostat,
2016-06-01,LT,total,2016,6,125.0,eurostat,
2016-06-01,LU,total,2016,6,44.0,eurostat,
2016-06-01,LV,total,2016,6,63.0,eurostat,
