country,date,demand,type,source
AT,01/01/2019,395114041,total,aggm
AT,02/01/2019,454302590,total,aggm
AT,03/01/2019,456448829,total,aggm
AT,04/01/2019,383755984,total,aggm
AT,05/01/2019,374744840,total,aggm
AT,06/01/2019,458049671,total,aggm
AT,07/01/2019,429888530,total,aggm
AT,08/01/2019,445141248,total,aggm
AT,09/01/2019,458175949,total,aggm
AT,10/01/2019,476379687,total,aggm
AT,11/01/2019,398927676,total,aggm
AT,12/01/2019,348525019,total,aggm
AT,13/01/2019,398367780,total,aggm
AT,14/01/2019,433673740,total,aggm
AT,15/01/2019,455704440,total,aggm
AT,16/01/2019,430330235,total,aggm
AT,17/01/2019,412454462,total,aggm
AT,18/01/2019,441529324,total,aggm
AT,19/01/2019,444425768,total,aggm
AT,20/01/2019,486526594,total,aggm
AT,21/01/2019,507274417,total,aggm
AT,22/01/2019,507815672,total,aggm
AT,23/01/2019,502233504,total,aggm
AT,24/01/2019,494836239,total,aggm
AT,25/01/2019,457871240,total,aggm
AT,26/01/2019,406172508,total,aggm
AT,27/01/2019,459587792,total,aggm
AT,28/01/2019,443758068,total,aggm
AT,29/01/2019,494467185,total,aggm
AT,30/01/2019,462011982,total,aggm
AT,31/01/2019,465393513,total,aggm
AT,01/02/2019,368769573,total,aggm
AT,02/02/2019,370486128,total,aggm
AT,03/02/2019,442206719,total,aggm
AT,04/02/2019,472313509,total,aggm
AT,05/02/2019,460645444,total,aggm
AT,06/02/2019,441696751,total,aggm
AT,07/02/2019,423440239,total,aggm
AT,08/02/2019,349241673,total,aggm
AT,09/02/2019,334938284,total,aggm
AT,10/02/2019,380628737,total,aggm
AT,11/02/2019,415985194,total,aggm
AT,12/02/2019,416854205,total,aggm
AT,13/02/2019,399584191,total,aggm
AT,14/02/2019,385652033,total,aggm
AT,15/02/2019,332454180,total,aggm
AT,16/02/2019,319703460,total,aggm
AT,17/02/2019,372867096,total,aggm
AT,18/02/2019,366668735,total,aggm
AT,19/02/2019,324010134,total,aggm
AT,20/02/2019,323278354,total,aggm
AT,21/02/2019,344179662,total,aggm
AT,22/02/2019,368048519,total,aggm
AT,23/02/2019,370392730,total,aggm
AT,24/02/2019,359937660,total,aggm
AT,25/02/2019,313340868,total,aggm
AT,26/02/2019,306077864,total,aggm
AT,27/02/2019,276176388,total,aggm
AT,28/02/2019,226326071,total,aggm
AT,01/03/2019,208304367,total,aggm
AT,02/03/2019,179412800,total,aggm
AT,03/03/2019,197790226,total,aggm
AT,04/03/2019,219364581,total,aggm
AT,05/03/2019,222070840,total,aggm
AT,06/03/2019,194361622,total,aggm
AT,07/03/2019,208197216,total,aggm
AT,08/03/2019,187752967,total,aggm
AT,09/03/2019,183142090,total,aggm
AT,10/03/2019,241703746,total,aggm
AT,11/03/2019,262429519,total,aggm
AT,12/03/2019,252668699,total,aggm
AT,13/03/2019,234969328,total,aggm
AT,14/03/2019,225731077,total,aggm
AT,15/03/2019,196223875,total,aggm
AT,16/03/2019,162247673,total,aggm
AT,17/03/2019,240586778,total,aggm
AT,18/03/2019,259411344,total,aggm
AT,19/03/2019,262362173,total,aggm
AT,20/03/2019,249624174,total,aggm
AT,21/03/2019,224297656,total,aggm
AT,22/03/2019,171737740,total,aggm
AT,23/03/2019,148864053,total,aggm
AT,24/03/2019,194835716,total,aggm
AT,25/03/2019,229898027,total,aggm
AT,26/03/2019,236081382,total,aggm
AT,27/03/2019,231816034,total,aggm
AT,28/03/2019,213103392,total,aggm
AT,29/03/2019,188033806,total,aggm
AT,30/03/2019,157965046,total,aggm
AT,31/03/2019,227835786.9,total,aggm
AT,01/04/2019,234488706.6,total,aggm
AT,02/04/2019,224080573.8,total,aggm
AT,03/04/2019,225025973.1,total,aggm
AT,04/04/2019,235714485.5,total,aggm
AT,05/04/2019,210644082.2,total,aggm
AT,06/04/2019,191759183.8,total,aggm
AT,07/04/2019,229388824.4,total,aggm
AT,08/04/2019,250603031.3,total,aggm
AT,09/04/2019,244644314.9,total,aggm
AT,10/04/2019,270758263.7,total,aggm
AT,11/04/2019,281267043.8,total,aggm
AT,12/04/2019,262991538.4,total,aggm
AT,13/04/2019,255060486.8,total,aggm
AT,14/04/2019,291052616.5,total,aggm
AT,15/04/2019,277364978.4,total,aggm
AT,16/04/2019,261810376.6,total,aggm
AT,17/04/2019,247501755.1,total,aggm
AT,18/04/2019,228958564.4,total,aggm
AT,19/04/2019,188782942,total,aggm
AT,20/04/2019,139005713.7,total,aggm
AT,21/04/2019,140242255.7,total,aggm
AT,22/04/2019,196112068,total,aggm
AT,23/04/2019,185375116.1,total,aggm
AT,24/04/2019,165809536.6,total,aggm
AT,25/04/2019,171335632.3,total,aggm
AT,26/04/2019,155447755,total,aggm
AT,27/04/2019,173964380,total,aggm
AT,28/04/2019,242059071.4,total,aggm
AT,29/04/2019,246617771.6,total,aggm
AT,30/04/2019,174579317.8,total,aggm
AT,01/05/2019,185502406.5,total,aggm
AT,02/05/2019,192007309.5,total,aggm
AT,03/05/2019,186378901.3,total,aggm
AT,04/05/2019,223529728.2,total,aggm
AT,05/05/2019,252017267.4,total,aggm
AT,06/05/2019,239746172.5,total,aggm
AT,07/05/2019,210765052.4,total,aggm
AT,08/05/2019,230155895.3,total,aggm
AT,09/05/2019,181091864.4,total,aggm
AT,10/05/2019,163617018,total,aggm
AT,11/05/2019,192599808.9,total,aggm
AT,12/05/2019,230570120.4,total,aggm
AT,13/05/2019,238297752.9,total,aggm
AT,14/05/2019,256956687.1,total,aggm
AT,15/05/2019,233929636.2,total,aggm
AT,16/05/2019,205015639.4,total,aggm
AT,17/05/2019,156881001.7,total,aggm
AT,18/05/2019,145563396.2,total,aggm
AT,19/05/2019,172160617.3,total,aggm
AT,20/05/2019,181876115.7,total,aggm
AT,21/05/2019,185588975.2,total,aggm
AT,22/05/2019,181301292.2,total,aggm
AT,23/05/2019,158787076.2,total,aggm
AT,24/05/2019,130740408.5,total,aggm
AT,25/05/2019,122852794.8,total,aggm
AT,26/05/2019,149290922.4,total,aggm
AT,27/05/2019,156361527,total,aggm
AT,28/05/2019,170040566.8,total,aggm
AT,29/05/2019,152922296.5,total,aggm
AT,30/05/2019,147694190.6,total,aggm
AT,31/05/2019,125545228.6,total,aggm
AT,01/06/2019,118047202.1,total,aggm
AT,02/06/2019,137748186.7,total,aggm
AT,03/06/2019,147875896.8,total,aggm
AT,04/06/2019,137007991.4,total,aggm
AT,05/06/2019,135961880.7,total,aggm
AT,06/06/2019,139990173.9,total,aggm
AT,07/06/2019,116363999.4,total,aggm
AT,08/06/2019,108527676.9,total,aggm
AT,09/06/2019,109940515.4,total,aggm
AT,10/06/2019,138275308.6,total,aggm
AT,11/06/2019,145818846,total,aggm
AT,12/06/2019,150835545.5,total,aggm
AT,13/06/2019,141946080.2,total,aggm
AT,14/06/2019,111760312.8,total,aggm
AT,15/06/2019,113210287.3,total,aggm
AT,16/06/2019,131250489.4,total,aggm
AT,17/06/2019,159342026.2,total,aggm
