,country,date,demand,type,source
0,FR,01/01/2015,386815683.0,industry,grtgaz
1,FR,02/01/2015,404786528.0,industry,grtgaz
2,FR,03/01/2015,385013841.0,industry,grtgaz
3,FR,04/01/2015,387667785.0,industry,grtgaz
4,FR,05/01/2015,449780236.0,industry,grtgaz
5,FR,06/01/2015,461278271.0,industry,grtgaz
6,FR,07/01/2015,445417392.0,industry,grtgaz
7,FR,08/01/2015,426048122.0,industry,grtgaz
8,FR,09/01/2015,399195963.0,industry,grtgaz
9,FR,10/01/2015,370881717.0,industry,grtgaz
10,FR,11/01/2015,397390325.0,industry,grtgaz
11,FR,12/01/2015,424011119.0,industry,grtgaz
12,FR,13/01/2015,425206672.0,industry,grtgaz
13,FR,14/01/2015,426986462.0,industry,grtgaz
14,FR,15/01/2015,421750509.0,industry,grtgaz
15,FR,16/01/2015,416216587.0,industry,grtgaz
16,FR,17/01/2015,403139768.0,industry,grtgaz
17,FR,18/01/2015,408552464.0,industry,grtgaz
18,FR,19/01/2015,460642426.0,industry,grtgaz
19,FR,20/01/2015,477308137.0,industry,grtgaz
20,FR,21/01/2015,475541430.0,industry,grtgaz
21,FR,22/01/2015,482564288.0,industry,grtgaz
22,FR,23/01/2015,472487178.0,industry,grtgaz
23,FR,24/01/2015,438561407.0,industry,grtgaz
24,FR,25/01/2015,434660802.0,industry,grtgaz
25,FR,26/01/2015,457169292.0,industry,grtgaz
26,FR,27/01/2015,459272151.0,industry,grtgaz
27,FR,28/01/2015,459691953.0,industry,grtgaz
28,FR,29/01/2015,460546384.0,industry,grtgaz
29,FR,30/01/2015,447390292.0,industry,grtgaz
30,FR,31/01/2015,416922377.0,industry,grtgaz
31,FR,01/02/2015,422431592.0,industry,grtgaz
32,FR,02/02/2015,472946001.0,industry,grtgaz
33,FR,03/02/2015,484823747.0,industry,grtgaz
34,FR,04/02/2015,494476339.0,industry,grtgaz
35,FR,05/02/2015,508744601.0,industry,grtgaz
36,FR,06/02/2015,508372178.0,industry,grtgaz
37,FR,07/02/2015,462847641.0,industry,grtgaz
38,FR,08/02/2015,452326543.0,industry,grtgaz
39,FR,09/02/2015,487353177.0,industry,grtgaz
40,FR,10/02/2015,484965805.0,industry,grtgaz
41,FR,11/02/2015,479487309.0,industry,grtgaz
42,FR,12/02/2015,465174212.0,industry,grtgaz
43,FR,13/02/2015,430392819.0,industry,grtgaz
44,FR,14/02/2015,404053317.0,industry,grtgaz
45,FR,15/02/2015,409901918.0,industry,grtgaz
46,FR,16/02/2015,442450126.0,industry,grtgaz
47,FR,17/02/2015,455065768.0,industry,grtgaz
48,FR,18/02/2015,461699370.0,industry,grtgaz
49,FR,19/02/2015,454685666.0,industry,grtgaz
50,FR,20/02/2015,436579634.0,industry,grtgaz
51,FR,21/02/2015,418347629.0,industry,grtgaz
52,FR,22/02/2015,420233981.0,industry,grtgaz
53,FR,23/02/2015,442629679.0,industry,grtgaz
54,FR,24/02/2015,453359227.0,industry,grtgaz
55,FR,25/02/2015,450014298.0,industry,grtgaz
56,FR,26/02/2015,441224060.0,industry,grtgaz
57,FR,27/02/2015,444405497.0,industry,grtgaz
58,FR,28/02/2015,409360291.0,industry,grtgaz
59,FR,01/03/2015,391001242.0,industry,grtgaz
60,FR,02/03/2015,428974982.0,industry,grtgaz
61,FR,03/03/2015,447285305.0,industry,grtgaz
62,FR,04/03/2015,457487815.0,industry,grtgaz
63,FR,05/03/2015,461528603.0,industry,grtgaz
64,FR,06/03/2015,440149848.0,industry,grtgaz
65,FR,07/03/2015,403771829.0,industry,grtgaz
66,FR,08/03/2015,393152211.0,industry,grtgaz
67,FR,09/03/2015,420265179.0,industry,grtgaz
68,FR,10/03/2015,422908744.0,industry,grtgaz
69,FR,11/03/2015,429867661.0,industry,grtgaz
70,FR,12/03/2015,427487636.0,industry,grtgaz
71,FR,13/03/2015,417621904.0,industry,grtgaz
72,FR,14/03/2015,392789145.0,industry,grtgaz
73,FR,15/03/2015,398476416.0,industry,grtgaz
74,FR,16/03/2015,434860152.0,industry,grtgaz
75,FR,17/03/2015,420407238.0,industry,grtgaz
76,FR,18/03/2015,421513467.0,industry,grtgaz
77,FR,19/03/2015,433947941.0,industry,grtgaz
78,FR,20/03/2015,425911638.0,industry,grtgaz
79,FR,21/03/2015,400519007.0,industry,grtgaz
80,FR,22/03/2015,398409057.0,industry,grtgaz
81,FR,23/03/2015,424483432.0,industry,grtgaz
82,FR,24/03/2015,432466356.0,industry,grtgaz
83,FR,25/03/2015,444068146.0,industry,grtgaz
84,FR,26/03/2015,440666577.0,industry,grtgaz
85,FR,27/03/2015,415742640.0,industry,grtgaz
86,FR,28/03/2015,360999587.0,industry,grtgaz
87,FR,29/03/2015,372064875.0,industry,grtgaz
88,FR,30/03/2015,397014820.0,industry,grtgaz
89,FR,31/03/2015,395565300.0,industry,grtgaz
90,FR,01/04/2015,389997591.0,industry,grtgaz
91,FR,02/04/2015,392236328.0,industry,grtgaz
92,FR,03/04/2015,380123947.0,industry,grtgaz
93,FR,04/04/2015,356873740.0,industry,grtgaz
94,FR,05/04/2015,360238304.0,industry,grtgaz
95,FR,06/04/2015,362215693.0,industry,grtgaz
96,FR,07/04/2015,386207362.0,industry,grtgaz
97,FR,08/04/2015,383104069.0,industry,grtgaz
98,FR,09/04/2015,375531268.0,industry,grtgaz
99,FR,10/04/2015,357386422.0,industry,grtgaz
100,FR,11/04/2015,345692375.0,industry,grtgaz
101,FR,12/04/2015,341549030.0,industry,grtgaz
102,FR,13/04/2015,363671451.0,industry,grtgaz
103,FR,14/04/2015,357076347.0,industry,grtgaz
104,FR,15/04/2015,356280377.0,industry,grtgaz
105,FR,16/04/2015,352244386.0,industry,grtgaz
106,FR,17/04/2015,357153574.0,industry,grtgaz
107,FR,18/04/2015,336805049.0,industry,grtgaz
108,FR,19/04/2015,335016269.0,industry,grtgaz
109,FR,20/04/2015,356799726.0,industry,grtgaz
110,FR,21/04/2015,357759222.0,industry,grtgaz
111,FR,22/04/2015,357062939.0,industry,grtgaz
112,FR,23/04/2015,353445822.0,industry,grtgaz
113,FR,24/04/2015,346886221.0,industry,grtgaz
114,FR,25/04/2015,330618736.0,industry,grtgaz
115,FR,26/04/2015,329911087.0,industry,grtgaz
116,FR,27/04/2015,367409940.0,industry,grtgaz
117,FR,28/04/2015,375048982.0,industry,grtgaz
118,FR,29/04/2015,370559920.0,industry,grtgaz
119,FR,30/04/2015,362507388.0,industry,grtgaz
120,FR,01/05/2015,331123284.0,industry,grtgaz
121,FR,02/05/2015,327489610.0,industry,grtgaz
122,FR,03/05/2015,326294541.0,industry,grtgaz
123,FR,04/05/2015,342578981.0,industry,grtgaz
124,FR,05/05/2015,346093678.0,industry,grtgaz
125,FR,06/05/2015,348835857.0,industry,grtgaz
126,FR,07/05/2015,344352496.0,industry,grtgaz
127,FR,08/05/2015,321364782.0,industry,grtgaz
128,FR,09/05/2015,316161154.0,industry,grtgaz
129,FR,10/05/2015,312582811.0,industry,grtgaz
130,FR,11/05/2015,332407739.0,industry,grtgaz
131,FR,12/05/2015,338609386.0,industry,grtgaz
132,FR,13/05/2015,330814620.0,industry,grtgaz
133,FR,14/05/2015,314846296.0,industry,grtgaz
134,FR,15/05/2015,328583105.0,industry,grtgaz
135,FR,16/05/2015,315069883.0,industry,grtgaz
136,FR,17/05/2015,312505636.0,industry,grtgaz
137,FR,18/05/2015,329520984.0,industry,grtgaz
138,FR,19/05/2015,340788211.0,industry,grtgaz
139,FR,20/05/2015,339598620.0,industry,grtgaz
140,FR,21/05/2015,331287179.0,industry,grtgaz
141,FR,22/05/2015,325482892.0,industry,grtgaz
142,FR,23/05/2015,303855238.0,industry,grtgaz
143,FR,24/05/2015,295673565.0,industry,grtgaz
144,FR,25/05/2015,304604418.0,industry,grtgaz
145,FR,26/05/2015,330471533.0,industry,grtgaz
146,FR,27/05/2015,336231644.0,industry,grtgaz
147,FR,28/05/2015,332395250.0,industry,grtgaz
148,FR,29/05/2015,333004797.0,industry,grtgaz
149,FR,30/05/2015,309761896.0,industry,grtgaz
150,FR,31/05/2015,304216233.0,industry,grtgaz
151,FR,01/06/2015,325634658.0,industry,grtgaz
152,FR,02/06/2015,322021506.0,industry,grtgaz
153,FR,03/06/2015,319207717.0,industry,grtgaz
154,FR,04/06/2015,312850826.0,industry,grtgaz
155,FR,05/06/2015,318765774.0,industry,grtgaz
156,FR,06/06/2015,289731668.0,industry,grtgaz
157,FR,07/06/2015,284603600.0,industry,grtgaz
158,FR,08/06/2015,308821294.0,industry,grtgaz
159,FR,09/06/2015,316706370.0,industry,grtgaz
160,FR,10/06/2015,314975410.0,industry,grtgaz
161,FR,11/06/2015,311215144.0,industry,grtgaz
162,FR,12/06/2015,312234217.0,industry,grtgaz
163,FR,13/06/2015,290272315.0,industry,grtgaz
164,FR,14/06/2015,289040936.0,industry,grtgaz
165,FR,15/06/2015,310009880.0,industry,grtgaz
166,FR,16/06/2015,318393016.0,industry,grtgaz
167,FR,17/06/2015,317351667.0,industry,grtgaz
168,FR,18/06/2015,321175672.0,industry,grtgaz
169,FR,19/06/2015,311462741.0,industry,grtgaz
170,FR,20/06/2015,294637391.0,industry,grtgaz
