country,date,demand,type,source
AT,2016-01-01,1178.0,total,eurostat
BE,2016-01-01,2011.0,total,eurostat
BG,2016-01-01,408.0,total,eurostat
CY,2016-01-01,0.0,total,eurostat
CZ,2016-01-01,1211.0,total,eurostat
DE,2016-01-01,12853.0,total,eurostat
DK,2016-01-01,465.0,total,eurostat
EE,2016-01-01,97.0,total,eurostat
ES,2016-01-01,2709.0,total,eurostat
EU27_2020,2016-01-01,49373.0,total,eurostat
FI,2016-01-01,405.0,total,eurostat
FR,2016-01-01,5442.0,total,eurostat
GR,2016-01-01,408.0,total,eurostat
HR,2016-01-01,335.0,total,eurostat
HU,2016-01-01,1522.0,total,eurostat
IE,2016-01-01,439.0,total,eurostat
IT,2016-01-01,9132.0,total,eurostat
LT,2016-01-01,286.0,total,eurostat
LU,2016-01-01,97.0,total,eurostat
LV,2016-01-01,241.0,total,eurostat
MT,2016-01-01,0.0,total,eurostat
NL,2016-01-01,5055.0,total,eurostat
PL,2016-01-01,2285.0,total,eurostat
PT,2016-01-01,379.0,total,eurostat
RO,2016-01-01,1391.0,total,eurostat
SE,2016-01-01,157.0,total,eurostat
SI,2016-01-01,108.0,total,eurostat
SK,2016-01-01,759.0,total,eurostat
AT,2016-02-01,887.0,total,eurostat
BE,2016-02-01,1850.0,total,eurostat
BG,2016-02-01,304.0,total,eurostat
CY,2016-02-01,0.0,total,eurostat
CZ,2016-02-01,913.0,total,eurostat
DE,2016-02-01,9906.0,total,eurostat
DK,2016-02-01,355.0,total,eurostat
EE,2016-02-01,61.0,total,eurostat
ES,2016-02-01,2594.0,total,eurostat
EU27_2020,2016-02-01,40623.0,total,eurostat
FI,2016-02-01,273.0,total,eurostat
FR,2016-02-01,4902.0,total,eurostat
GR,2016-02-01,270.0,total,eurostat
HR,2016-02-01,256.0,total,eurostat
HU,2016-02-01,1071.0,total,eurostat
IE,2016-02-01,463.0,total,eurostat
IT,2016-02-01,7514.0,total,eurostat
LT,2016-02-01,199.0,total,eurostat
LU,2016-02-01,89.0,total,eurostat
LV,2016-02-01,129.0,total,eurostat
MT,2016-02-01,0.0,total,eurostat
NL,2016-02-01,4560.0,total,eurostat
PL,2016-02-01,1850.0,total,eurostat
PT,2016-02-01,331.0,total,eurostat
RO,2016-02-01,1112.0,total,eurostat
SE,2016-02-01,118.0,total,eurostat
SI,2016-02-01,88.0,total,eurostat
SK,2016-02-01,528.0,total,eurostat
AT,2016-03-01,874.0,total,eurostat
BE,2016-03-01,1846.0,total,eurostat
BG,2016-03-01,296.0,total,eurostat
CY,2016-03-01,0.0,total,eurostat
CZ,2016-03-01,917.0,total,eurostat
DE,2016-03-01,9472.0,total,eurostat
DK,2016-03-01,344.0,total,eurostat
EE,2016-03-01,59.0,total,eurostat
ES,2016-03-01,2606.0,total,eurostat
EU27_2020,2016-03-01,37129.0,total,eurostat
FI,2016-03-01,257.0,total,eurostat
FR,2016-03-01,4923.0,total,eurostat
GR,2016-03-01,286.0,total,eurostat
HR,2016-03-01,270.0,total,eurostat
HU,2016-03-01,1003.0,total,eurostat
IE,2016-03-01,450.0,total,eurostat
IT,2016-03-01,7026.0,total,eurostat
LT,2016-03-01,221.0,total,eurostat
LU,2016-03-01,90.0,total,eurostat
LV,2016-03-01,137.0,total,eurostat
MT,2016-03-01,0.0,total,eurostat
NL,2016-03-01,2038.0,total,eurostat
PL,2016-03-01,1899.0,total,eurostat
PT,2016-03-01,367.0,total,eurostat
RO,2016-03-01,1059.0,total,eurostat
SE,2016-03-01,95.0,total,eurostat
SI,2016-03-01,87.0,total,eurostat
SK,2016-03-01,507.0,total,eurostat
AT,2016-04-01,654.0,total,eurostat
BE,2016-04-01,1377.0,total,eurostat
BG,2016-04-01,231.0,total,eurostat
CY,2016-04-01,0.0,total,eurostat
CZ,2016-04-01,625.0,total,eurostat
DE,2016-04-01,5865.0,total,eurostat
DK,2016-04-01,272.0,total,eurostat
EE,2016-04-01,41.0,total,eurostat
ES,2016-04-01,2244.0,total,eurostat
EU27_2020,2016-04-01,27435.0,total,eurostat
FI,2016-04-01,179.0,total,eurostat
FR,2016-04-01,3373.0,total,eurostat
GR,2016-04-01,252.0,total,eurostat
HR,2016-04-01,189.0,total,eurostat
HU,2016-04-01,595.0,total,eurostat
IE,2016-04-01,451.0,total,eurostat
IT,2016-04-01,4410.0,total,eurostat
LT,2016-04-01,168.0,total,eurostat
LU,2016-04-01,70.0,total,eurostat
LV,2016-04-01,90.0,total,eurostat
MT,2016-04-01,0.0,total,eurostat
NL,2016-04-01,3325.0,total,eurostat
PL,2016-04-01,1536.0,total,eurostat
PT,2016-04-01,331.0,total,eurostat
RO,2016-04-01,763.0,total,eurostat
SE,2016-04-01,54.0,total,eurostat
SI,2016-04-01,61.0,total,eurostat
SK,2016-04-01,279.0,total,eurostat
AT,2016-05-01,505.0,total,eurostat
BE,2016-05-01,951.0,total,eurostat
BG,2016-05-01,230.0,total,eurostat
CY,2016-05-01,0.0,total,eurostat
CZ,2016-05-01,432.0,total,eurostat
DE,2016-05-01,5339.0,total,eurostat
DK,2016-05-01,175.0,total,eurostat
EE,2016-05-01,22.0,total,eurostat
ES,2016-05-01,2058.0,total,eurostat
EU27_2020,2016-05-01,22559.0,total,eurostat
FI,2016-05-01,132.0,total,eurostat
FR,2016-05-01,2206.0,total,eurostat
GR,2016-05-01,249.0,total,eurostat
HR,2016-05-01,169.0,total,eurostat
HU,2016-05-01,484.0,total,eurostat
IE,2016-05-01,405.0,total,eurostat
IT,2016-05-01,4175.0,total,eurostat
LT,2016-05-01,161.0,total,eurostat
LU,2016-05-01,53.0,total,eurostat
LV,2016-05-01,58.0,total,eurostat
MT,2016-05-01,0.0,total,eurostat
NL,2016-05-01,2336.0,total,eurostat
PL,2016-05-01,1272.0,total,eurostat
PT,2016-05-01,343.0,total,eurostat
RO,2016-05-01,649.0,total,eurostat
SE,2016-05-01,44.0,total,eurostat
SI,2016-05-01,54.0,total,eurostat
SK,2016-05-01,57.0,total,eurostat
AT,2016-06-01,374.0,total,eurostat
BE,2016-06-01,862.0,total,eurostat
BG,2016-06-01,200.0,total,eurostat
CY,2016-06-01,0.0,total,eurostat
CZ,2016-06-01,333.0,total,eurostat
DE,2016-06-01,4037.0,total,eurostat
DK,2016-06-01,159.0,total,eurostat
EE,2016-06-01,18.0,total,eurostat
ES,2016-06-01,1966.0,total,eurostat
EU27_2020,2016-06-01,19530.0,total,eurostat
FI,2016-06-01,133.0,total,eurostat
FR,2016-06-01,1774.0,total,eurostat
GR,2016-06-01,337.0,total,eurostat
HR,2016-06-01,132.0,total,eurostat
HU,2016-06-01,382.0,total,eurostat
IE,2016-06-01,347.0,total,eurostat
IT,2016-06-01,3716.0,total,eurostat
LT,2016-06-01,125.0,total,eurostat
LU,2016-06-01,44.0,total,eurostat
LV,2016-06-01,63.0,total,eurostat
MT,2016-06-01,0.0,total,eurostat
NL,2016-06-01,2178.0,total,eurostat
PL,2016-06-01,1058.0,total,eurostat
PT,2016-06-01,414.0,total,eurostat
RO,2016-06-01,572.0,total,eurostat
SE,2016-06-01,38.0,total,eurostat
SI,2016-06-01,47.0,total,eurostat
SK,2016-06-01,221.0,total,eurostat
AT,2016-07-01,381.0,total,eurostat
BE,2016-07-01,791.0,total,eurostat
BG,2016-07-01,163.0,total,eurostat
CY,2016-07-01,0.0,total,eurostat
CZ,2016-07-01,315.0,total,eurostat
DE,2016-07-01,4389.0,total,eurostat
DK,2016-07-01,135.0,total,eurostat
EE,2016-07-01,17.0,total,eurostat
ES,2016-07-01,2105.0,total,eurostat
EU27_2020,2016-07-01,20374.0,total,eurostat
FI,2016-07-01,129.0,total,eurostat
FR,2016-07-01,1701.0,total,eurostat
GR,2016-07-01,337.0,total,eurostat
HR,2016-07-01,98.0,total,eurostat
HU,2016-07-01,388.0,total,eurostat
IE,2016-07-01,361.0,total,eurostat
IT,2016-07-01,4191.0,total,eurostat
LT,2016-07-01,95.0,total,eurostat
LU,2016-07-01,40.0,total,eurostat
LV,2016-07-01,58.0,total,eurostat
MT,2016-07-01,0.0,total,eurostat
NL,2016-07-01,2209.0,total,eurostat
PL,2016-07-01,1093.0,total,eurostat
PT,2016-07-01,482.0,total,eurostat
RO,2016-07-01,602.0,total,eurostat
SE,2016-07-01,36.0,total,eurostat
SI,2016-07-01,46.0,total,eurostat
SK,2016-07-01,212.0,total,eurostat
AT,2016-08-01,369.0,total,eurostat
BE,2016-08-01,859.0,total,eurostat
BG,2016-08-01,167.0,total,eurostat
CY,2016-08-01,0.0,total,eurostat
