country,date,demand,type
AT,2016-01-01,250.0,power
BE,2016-01-01,367.0,power
BG,2016-01-01,151.0,power
CY,2016-01-01,0.0,power
CZ,2016-01-01,47.0,power
DE,2016-01-01,1496.0,power
DK,2016-01-01,70.0,power
EE,2016-01-01,52.0,power
ES,2016-01-01,409.0,power
EU27_2020,2016-01-01,7118.0,power
FI,2016-01-01,84.0,power
FR,2016-01-01,308.0,power
GR,2016-01-01,232.0,power
HR,2016-01-01,43.0,power
HU,2016-01-01,220.0,power
IE,2016-01-01,0.0,power
IT,2016-01-01,2126.0,power
LT,2016-01-01,59.0,power
LU,2016-01-01,0.0,power
LV,2016-01-01,133.0,power
MT,2016-01-01,0.0,power
NL,2016-01-01,716.0,power
PL,2016-01-01,162.0,power
PT,2016-01-01,177.0,power
RO,2016-01-01,0.0,power
SE,2016-01-01,0.0,power
SI,2016-01-01,16.0,power
SK,2016-01-01,0.0,power
AT,2016-02-01,172.0,power
BE,2016-02-01,304.0,power
BG,2016-02-01,102.0,power
CY,2016-02-01,0.0,power
CZ,2016-02-01,30.0,power
DE,2016-02-01,1193.0,power
DK,2016-02-01,36.0,power
EE,2016-02-01,28.0,power
ES,2016-02-01,286.0,power
EU27_2020,2016-02-01,5572.0,power
FI,2016-02-01,61.0,power
FR,2016-02-01,214.0,power
GR,2016-02-01,159.0,power
HR,2016-02-01,40.0,power
HU,2016-02-01,163.0,power
IE,2016-02-01,0.0,power
IT,2016-02-01,1812.0,power
LT,2016-02-01,43.0,power
LU,2016-02-01,0.0,power
LV,2016-02-01,61.0,power
MT,2016-02-01,0.0,power
NL,2016-02-01,559.0,power
PL,2016-02-01,148.0,power
PT,2016-02-01,146.0,power
RO,2016-02-01,0.0,power
SE,2016-02-01,0.0,power
SI,2016-02-01,15.0,power
SK,2016-02-01,0.0,power
AT,2016-03-01,154.0,power
BE,2016-03-01,331.0,power
BG,2016-03-01,100.0,power
CY,2016-03-01,0.0,power
CZ,2016-03-01,10.0,power
DE,2016-03-01,1217.0,power
DK,2016-03-01,39.0,power
EE,2016-03-01,28.0,power
ES,2016-03-01,316.0,power
EU27_2020,2016-03-01,5076.0,power
FI,2016-03-01,56.0,power
FR,2016-03-01,272.0,power
GR,2016-03-01,166.0,power
HR,2016-03-01,33.0,power
HU,2016-03-01,137.0,power
IE,2016-03-01,0.0,power
IT,2016-03-01,1775.0,power
LT,2016-03-01,40.0,power
LU,2016-03-01,0.0,power
LV,2016-03-01,70.0,power
MT,2016-03-01,0.0,power
NL,2016-03-01,0.0,power
PL,2016-03-01,157.0,power
PT,2016-03-01,160.0,power
RO,2016-03-01,0.0,power
SE,2016-03-01,0.0,power
SI,2016-03-01,15.0,power
SK,2016-03-01,0.0,power
AT,2016-04-01,113.0,power
BE,2016-04-01,295.0,power
BG,2016-04-01,47.0,power
CY,2016-04-01,0.0,power
CZ,2016-04-01,18.0,power
DE,2016-04-01,813.0,power
DK,2016-04-01,25.0,power
EE,2016-04-01,15.0,power
ES,2016-04-01,271.0,power
EU27_2020,2016-04-01,4351.0,power
FI,2016-04-01,31.0,power
FR,2016-04-01,234.0,power
GR,2016-04-01,173.0,power
HR,2016-04-01,21.0,power
HU,2016-04-01,104.0,power
IE,2016-04-01,0.0,power
IT,2016-04-01,1444.0,power
LT,2016-04-01,19.0,power
LU,2016-04-01,0.0,power
LV,2016-04-01,0.0,power
MT,2016-04-01,0.0,power
