country,date,demand,type
AT,2018-12-31,1282800.0,power
AT,2019-01-01,12881100.0,power
AT,2019-01-02,40819600.0,power
AT,2019-01-03,50956100.0,power
AT,2019-01-04,53350100.0,power
AT,2019-01-05,26038300.0,power
AT,2019-01-06,27552700.0,power
AT,2019-01-07,57756200.0,power
AT,2019-01-08,51722100.0,power
AT,2019-01-09,54825900.0,power
AT,2019-01-10,56677200.0,power
AT,2019-01-11,62123100.0,power
AT,2019-01-12,39812100.0,power
AT,2019-01-13,25006200.0,power
AT,2019-01-14,37757600.0,power
AT,2019-01-15,45617800.0,power
AT,2019-01-16,66135399.99999999,power
AT,2019-01-17,62807200.0,power
AT,2019-01-18,46725800.0,power
AT,2019-01-19,52189500.0,power
AT,2019-01-20,54492400.0,power
AT,2019-01-21,58940900.0,power
AT,2019-01-22,61729700.0,power
AT,2019-01-23,61041400.0,power
AT,2019-01-24,59109600.0,power
AT,2019-01-25,58830299.99999999,power
AT,2019-01-26,59373100.0,power
AT,2019-01-27,47438500.0,power
AT,2019-01-28,60188000.0,power
AT,2019-01-29,54687600.0,power
AT,2019-01-30,71421000.0,power
AT,2019-01-31,55812500.0,power
AT,2019-02-01,67331500.0,power
AT,2019-02-02,51458800.0,power
AT,2019-02-03,47590300.0,power
AT,2019-02-04,60685400.0,power
AT,2019-02-05,66579300.0,power
AT,2019-02-06,56873000.0,power
AT,2019-02-07,45010400.0,power
AT,2019-02-08,53630200.0,power
AT,2019-02-09,29230300.0,power
AT,2019-02-10,27393100.0,power
AT,2019-02-11,38748400.0,power
AT,2019-02-12,48416600.0,power
AT,2019-02-13,54304100.0,power
AT,2019-02-14,54108700.0,power
AT,2019-02-15,51691100.0,power
AT,2019-02-16,36658600.0,power
AT,2019-02-17,35535100.0,power
AT,2019-02-18,44517000.0,power
AT,2019-02-19,48896100.0,power
AT,2019-02-20,32768300.000000004,power
AT,2019-02-21,37164400.0,power
AT,2019-02-22,39508500.0,power
AT,2019-02-23,39921500.0,power
AT,2019-02-24,39869300.0,power
AT,2019-02-25,42952700.0,power
AT,2019-02-26,33324300.000000004,power
AT,2019-02-27,32860199.999999996,power
AT,2019-02-28,27370700.0,power
AT,2019-03-01,26499400.0,power
AT,2019-03-02,20162900.0,power
AT,2019-03-03,10111100.0,power
AT,2019-03-04,15371000.0,power
AT,2019-03-05,20755600.0,power
AT,2019-03-06,25944600.000000004,power
AT,2019-03-07,14229300.0,power
AT,2019-03-08,16038200.0,power
AT,2019-03-09,8521900.0,power
AT,2019-03-10,9248400.0,power
AT,2019-03-11,21973100.0,power
AT,2019-03-12,30247600.0,power
AT,2019-03-13,22618800.0,power
AT,2019-03-14,18606600.0,power
AT,2019-03-15,17295900.0,power
AT,2019-03-16,13383900.0,power
AT,2019-03-17,3258900.0,power
AT,2019-03-18,26422900.0,power
AT,2019-03-19,32956600.0,power
AT,2019-03-20,32837900.0,power
AT,2019-03-21,32926199.999999996,power
AT,2019-03-22,32141600.0,power
AT,2019-03-23,15608800.0,power
AT,2019-03-24,10893800.0,power
AT,2019-03-25,16908200.0,power
AT,2019-03-26,29923900.0,power
AT,2019-03-27,32332500.0,power
AT,2019-03-28,33213300.000000004,power
AT,2019-03-29,30907300.0,power
AT,2019-03-30,27571400.0,power
AT,2019-03-31,16789900.0,power
AT,2019-04-01,21189100.0,power
AT,2019-04-02,19415000.0,power
AT,2019-04-03,20273200.0,power
AT,2019-04-04,20100400.0,power
AT,2019-04-05,19301400.0,power
AT,2019-04-06,12474000.0,power
AT,2019-04-07,7540700.0,power
AT,2019-04-08,17578100.0,power
AT,2019-04-09,31219100.0,power
AT,2019-04-10,19257600.0,power
AT,2019-04-11,19156100.0,power
AT,2019-04-12,21235900.0,power
AT,2019-04-13,20887100.0,power
AT,2019-04-14,18660100.0,power
AT,2019-04-15,38239000.0,power
AT,2019-04-16,37300100.0,power
AT,2019-04-17,31918000.0,power
AT,2019-04-18,33095300.000000004,power
AT,2019-04-19,29936900.0,power
AT,2019-04-20,18597200.0,power
AT,2019-04-21,299900.0,power
AT,2019-04-22,287500.0,power
AT,2019-04-23,4141200.0,power
AT,2019-04-24,7553800.0,power
AT,2019-04-25,7430700.0,power
AT,2019-04-26,8695200.0,power
AT,2019-04-27,394700.0,power
AT,2019-04-28,4597100.0,power
AT,2019-04-29,19274900.0,power
AT,2019-04-30,17460600.0,power
AT,2019-05-01,1487100.0,power
AT,2019-05-02,4990600.0,power
AT,2019-05-03,3186900.0,power
AT,2019-05-04,5659500.0,power
AT,2019-05-05,2731900.0,power
AT,2019-05-06,3130000.0,power
AT,2019-05-07,7240000.0,power
AT,2019-05-08,2701500.0,power
AT,2019-05-09,19385000.0,power
AT,2019-05-10,1401600.0,power
AT,2019-05-11,613100.0,power
AT,2019-05-12,998800.0,power
AT,2019-05-13,3544500.0,power
AT,2019-05-14,3897500.0,power
AT,2019-05-15,3499600.0,power
AT,2019-05-16,3229800.0,power
AT,2019-05-17,5077500.0,power
AT,2019-05-18,268200.0,power
AT,2019-05-19,281500.0,power
AT,2019-05-20,339700.0,power
AT,2019-05-21,1209000.0,power
AT,2019-05-22,799200.0,power
AT,2019-05-23,384700.0,power
AT,2019-05-24,312400.0,power
AT,2019-05-25,111399.99999999999,power
AT,2019-05-26,0.0,power
AT,2019-05-27,670500.0,power
AT,2019-05-28,374500.0,power
AT,2019-05-29,368500.0,power
AT,2019-05-30,363000.0,power
AT,2019-05-31,418000.0,power
AT,2019-06-01,21000.0,power
AT,2019-06-02,0.0,power
AT,2019-06-03,0.0,power
AT,2019-06-04,6327100.0,power
AT,2019-06-05,2900.0,power
AT,2019-06-06,700.0,power
AT,2019-06-07,4931800.0,power
AT,2019-06-08,21700.0,power
AT,2019-06-09,9400.0,power
AT,2019-06-10,8200.000000000002,power
AT,2019-06-11,5118500.0,power
AT,2019-06-12,6387700.0,power
AT,2019-06-13,11737400.0,power
AT,2019-06-14,6001400.0,power
AT,2019-06-15,0.0,power
AT,2019-06-16,0.0,power
AT,2019-06-17,0.0,power
AT,2019-06-18,18077600.0,power
AT,2019-06-19,17627400.0,power
AT,2019-06-20,2349200.0,power
AT,2019-06-21,11345800.0,power
AT,2019-06-22,8800.0,power
AT,2019-06-23,0.0,power
AT,2019-06-24,16977500.0,power
AT,2019-06-25,17668600.0,power
AT,2019-06-26,20844100.0,power
AT,2019-06-27,10520900.0,power
AT,2019-06-28,12034500.0,power
AT,2019-06-29,10821300.0,power
AT,2019-06-30,1074900.0,power
AT,2019-07-01,19111300.0,power
AT,2019-07-02,12883300.0,power
AT,2019-07-03,18486700.0,power
AT,2019-07-04,20654400.0,power
AT,2019-07-05,5896300.0,power
AT,2019-07-06,9643800.0,power
AT,2019-07-07,1012600.0,power
AT,2019-07-08,23439500.0,power
AT,2019-07-09,20961500.0,power
AT,2019-07-10,15117500.0,power
AT,2019-07-11,26530100.0,power
AT,2019-07-12,14595300.0,power
AT,2019-07-13,26299.999999999996,power
AT,2019-07-14,25800.0,power
AT,2019-07-15,20521600.0,power
AT,2019-07-16,19133900.0,power
AT,2019-07-17,21523300.0,power
AT,2019-07-18,28910000.0,power
AT,2019-07-19,26124200.0,power
AT,2019-07-20,13738100.0,power
AT,2019-07-21,22157200.0,power
AT,2019-07-22,22842400.0,power
AT,2019-07-23,21349000.0,power
AT,2019-07-24,22989600.0,power
AT,2019-07-25,18092700.0,power
AT,2019-07-26,22456200.0,power
AT,2019-07-27,18342000.0,power
AT,2019-07-28,1271700.0,power
AT,2019-07-29,0.0,power
AT,2019-07-30,5685500.0,power
AT,2019-07-31,17986500.0,power
AT,2019-08-01,13694000.0,power
AT,2019-08-02,13483000.0,power
AT,2019-08-03,0.0,power
AT,2019-08-04,0.0,power
AT,2019-08-05,18974000.0,power
AT,2019-08-06,18983800.0,power
AT,2019-08-07,14623400.0,power
AT,2019-08-08,22416700.0,power
AT,2019-08-09,14536400.0,power
AT,2019-08-10,8806699.999999998,power
AT,2019-08-11,11045600.0,power
AT,2019-08-12,24629000.0,power
AT,2019-08-13,26550600.0,power
AT,2019-08-14,17878200.0,power
AT,2019-08-15,2658300.0,power
AT,2019-08-16,18103700.0,power
AT,2019-08-17,9454700.0,power
AT,2019-08-18,9672000.0,power
AT,2019-08-19,38887400.0,power
AT,2019-08-20,31648200.0,power
AT,2019-08-21,27661300.0,power
AT,2019-08-22,36938900.0,power
AT,2019-08-23,30226600.000000004,power
AT,2019-08-24,30559000.0,power
AT,2019-08-25,19465900.0,power
AT,2019-08-26,48402700.0,power
AT,2019-08-27,49109800.0,power
AT,2019-08-28,46787000.0,power
AT,2019-08-29,40013200.0,power
AT,2019-08-30,36026500.0,power
AT,2019-08-31,22946800.0,power
AT,2019-09-01,25735900.0,power
AT,2019-09-02,33688700.0,power
AT,2019-09-03,22031200.0,power
AT,2019-09-04,38362300.0,power
